,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
103,2016-05-15,21,4916,Toby,Alderweireld,D,Centre/Right Central Defender
104,2016-05-15,21,4664,Hugo,Lloris,G,Goalkeeper
105,2016-05-15,21,3960,Harry,Kane,F,Centre Striker
106,2016-05-15,21,4845,Christian,Eriksen,M,Left/Centre/Right Attacking Midfielder
107,2016-05-15,21,3725,Ryan,Mason,M,Centre Central Midfielder
108,2016-05-15,21,3955,Kyle,Walker,D,Right Full Back
109,2016-05-15,21,4112,Eric,Dier,M,Centre Defensive Midfielder
110,2016-05-15,20,10498,Dusan,Tadic,M,Left/Right Winger
111,2016-05-15,20,3206,Shane,Long,F,Centre Striker
112,2016-05-15,20,2423,Steven,Davis,M,Centre/Right Central Midfielder
113,2016-05-15,20,5140,Virgil,van Dijk,D,Centre Central Defender
114,2016-05-15,20,6519,Sadio,Mané,M,Left Winger
115,2016-05-15,20,2886,Ryan,Bertrand,D,Left Full Back
116,2016-05-15,20,3170,Fraser,Forster,G,Goalkeeper
117,2016-05-15,20,4816,Victor,Wanyama,M,Centre Defensive Midfielder
118,2016-05-15,20,4606,José Miguel,da Rocha Fonte,D,Centre Central Defender
119,2016-05-15,20,4286,Oriol,Romeu,M,Centre Defensive Midfielder
120,2016-05-15,20,13716,Rhu-endly,Martina,D,Right Full Back
121,2016-05-15,6,4766,Mile,Jedinak,M,Centre Central Midfielder
122,2016-05-15,6,4224,James,McArthur,M,Centre Central Midfielder
123,2016-05-15,6,3333,Jordon,Mutch,M,Left/Centre Central Midfielder
124,2016-05-15,6,2664,Julian,Speroni,G,Goalkeeper
125,2016-05-15,6,4771,Dwight,Gayle,F,Centre Striker
126,2016-05-15,6,10444,Pape,Souaré,D,Left Full Back
127,2016-05-15,6,3929,Joel,Ward,D,Right Full Back
128,2016-05-15,6,1911,Damien,Delaney,D,Centre Central Defender
129,2016-05-15,6,4084,Jason David Ian,Puncheon,M,Left/Centre/Right Attacking Midfielder
130,2016-05-15,6,2845,Emmanuel,Adebayor,F,Centre Striker
131,2016-05-15,6,3251,Adrian,Mariappa,D,Centre Central Defender
132,2016-05-15,42,3158,Ryan,Shawcross,D,Centre Central Defender
133,2016-05-15,42,4823,Marko,Arnautovic,F,Left/Right Second Striker
134,2016-05-15,42,6425,Jose Luis,Mato Sanmartín,F,Centre Striker
135,2016-05-15,42,4989,Philipp,Wollscheid,D,Centre Central Defender
136,2016-05-15,42,5588,Giannelli,Imbula,M,Centre Defensive Midfielder
137,2016-05-15,42,4636,Geoff,Cameron,D,Centre/Right Full Back
138,2016-05-15,42,2299,Glenn,Whelan,M,Centre Central Midfielder
139,2016-05-15,42,4821,Erik,Pieters,D,Left Full Back
140,2016-05-15,42,2047,Jonathan,Walters,F,Left/Centre/Right Second Striker
141,2016-05-15,42,4898,Bojan,Krkic Perez,F,Left/Centre/Right Striker
142,2016-05-15,42,851,Shay,Given,G,Goalkeeper
143,2016-05-15,25,3517,James,Tomkins,D,Centre Central Defender
144,2016-05-15,25,5861,Cheikhou,Kouyaté,M,Centre Central Midfielder
145,2016-05-15,25,3175,Andy,Carroll,F,Centre Striker
146,2016-05-15,25,5514,Angelo,Ogbonna,D,Left/Centre Central Defender
147,2016-05-15,25,9595,Michail,Antonio,F,Left/Centre/Right Striker
148,2016-05-15,25,8897,Aaron,Cresswell,D,Left Full Back
149,2016-05-15,25,13872,Manuel,Lanzini,M,Left/Centre/Right Attacking Midfielder
150,2016-05-15,25,3014,Mark,Noble,M,Centre Central Midfielder
151,2016-05-15,25,2216,Darren,Randolph,G,Goalkeeper
152,2016-05-15,25,4209,Winston,Reid,D,Centre/Right Central Defender
153,2016-05-15,25,10540,Diafra,Sakho,F,Centre Striker
154,2016-05-15,45,5672,Federico,Fernández,D,Centre Central Defender
155,2016-05-15,45,10517,Stephen,Kingsley,D,Left Full Back
156,2016-05-15,45,4810,Leroy,Fer,M,Centre Central Midfielder
157,2016-05-15,45,2681,Wayne,Routledge,M,Right Winger
158,2016-05-15,45,2152,Leon,Britton,M,Centre Central Midfielder
159,2016-05-15,45,4405,Angel,Rangel,D,Right Full Back
160,2016-05-15,45,13795,Kristoffer,Nordfeldt,G,Goalkeeper
161,2016-05-15,45,10518,Jefferson,Montero,M,Left/Right Winger
162,2016-05-15,45,4835,Jordi,Amat Maas,D,Centre Central Defender
163,2016-05-15,45,2889,Jack,Cork,M,Centre Central Midfielder
164,2016-05-15,45,5594,André,Ayew,M,Left/Right Winger
