id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
3797,2016-12-04,10,13511,Roberto Firmino,Barbosa de Oliveira,F,Left/Centre/Right Striker
3798,2016-12-04,10,4813,Dejan,Lovren,D,Centre Central Defender
3799,2016-12-04,10,7114,Georginio,Wijnaldum,M,Left/Centre/Right Attacking Midfielder
3800,2016-12-04,10,6519,Sadio,Mané,F,Left/Right Winger
3801,2016-12-04,10,3137,Lucas Pezzini,Leiva,M,Centre Central Midfielder
3802,2016-12-04,10,3712,Jordan,Henderson,M,Centre Central Midfielder
3803,2016-12-04,10,2100,James,Milner,M,Left/Centre/Right Central Midfielder
3804,2016-12-04,10,19600,Loris,Karius,G,Goalkeeper
3805,2016-12-04,10,4604,Nathaniel,Clyne,D,Right Full Back
3806,2016-12-04,7,4507,Kevin,Mirallas,M,Left/Right Winger
3807,2016-12-04,7,4779,Maarten,Stekelenburg,G,Goalkeeper
3808,2016-12-04,7,3600,Séamus,Coleman,D,Right Full Back
3809,2016-12-04,7,12582,Idrissa,Gueye,M,Centre Defensive Midfielder
3810,2016-12-04,7,3030,Leighton,Baines,D,Left Full Back
3811,2016-12-04,7,4290,Romelu,Lukaku,F,Centre Striker
3812,2016-12-04,7,3448,Tom,Cleverley,M,Centre Central Midfielder
3813,2016-12-04,7,1308,Gareth,Barry,M,Centre Central Midfielder
3814,2016-12-04,7,13387,Ramiro,Funes Mori,D,Centre Central Defender
3815,2016-12-04,7,4763,Yannick,Bolasie,F,Left/Right Winger
3816,2016-12-04,7,4403,Ashley,Williams,D,Centre Central Defender
3817,2016-12-04,12,12854,Matteo,Darmian,D,Left/Right Full Back
3818,2016-12-04,12,3920,Paul,Pogba,M,Centre Central Midfielder
3819,2016-12-04,12,3285,Luis Antonio,Valencia,D,Right Full Back
3820,2016-12-04,12,10472,Marcos,Rojo,D,Left/Centre Full Back
3821,2016-12-04,12,3820,Phil,Jones,D,Centre Central Defender
3822,2016-12-04,12,11272,Anthony,Martial,F,Left/Centre Second Striker
3823,2016-12-04,12,5102,Henrikh,Mkhitaryan,M,Left/Centre/Right Attacking Midfielder
3824,2016-12-04,12,4330,David,de Gea,G,Goalkeeper
3825,2016-12-04,12,5772,Zlatan,Ibrahimovic,F,Centre Striker
3826,2016-12-04,12,10475,Ander,Herrera,M,Centre Central Midfielder
3827,2016-12-04,12,1634,Michael,Carrick,M,Centre Central Midfielder
3828,2016-12-03,11,4288,Kevin,De Bruyne,M,Left/Centre/Right Attacking Midfielder
3829,2016-12-03,11,5384,Leroy,Sané,F,Left/Centre/Right Winger
3830,2016-12-03,11,4804,Fernando,Luiz Rosa,M,Centre Defensive Midfielder
3831,2016-12-03,11,4803,Jesús,Navas,M,Right Winger
3832,2016-12-03,11,4505,John,Stones,D,Centre Central Defender
3833,2016-12-03,11,4141,Aleksandar,Kolarov,D,Left Full Back
3834,2016-12-03,11,4145,David,Silva,M,Left/Centre/Right Attacking Midfielder
3835,2016-12-03,11,4328,Sergio,Agüero,F,Centre Striker
3836,2016-12-03,11,6058,Nicolás,Otamendi,D,Centre Central Defender
3837,2016-12-03,11,5101,Ilkay,Gündogan,M,Centre Central Midfielder
3838,2016-12-03,11,5810,Claudio,Bravo,G,Goalkeeper
3839,2016-12-03,4,4100,David,Luiz Moreira Marinho,D,Centre Central Defender
3840,2016-12-03,4,13492,N'Golo,Kanté,M,Centre Central Midfielder
3841,2016-12-03,4,2417,Cesc,Fàbregas,M,Centre Central Midfielder
3842,2016-12-03,4,4503,Eden,Hazard,F,Left/Centre/Right Second Striker
3843,2016-12-03,4,4972,Pedro,Rodríguez Ledesma,F,Left/Right Winger
3844,2016-12-03,4,4093,Marcos,Alonso,D,Left Full Back
3845,2016-12-03,4,4496,César,Azpilicueta,D,Left/Right Full Back
3846,2016-12-03,4,4941,Diego,Da Silva Costa,F,Centre Striker
